CVR,Profit,Assets,Equity,YearEnd,Equity_sqrt,Assets_sqrt,Profit_sqrt,Default_nextyear,Age
87863913,75708,1553714,536793,2014-12-31,732.6615862729532,1246.480645658006,275.1508677071544,0,13195
87847810,628606,4568217,500000,2014-04-30,707.1067811865476,2137.338765848783,792.8467695589104,0,12965
87772411,218916,825688,146157,2013-12-31,382.30485217951394,908.673758837571,467.88460115716566,0,12880
87772411,-218914,1039417,226351,2014-12-31,475.76359675788564,1019.5180233816369,-467.88246387313984,0,13245
87583228,-4336,117,-1556139,2014-06-30,-1247.4530051268464,10.816653826391969,-65.84831053261732,0,13150
87577015,299846,7140875,4285858,2014-06-30,2070.2313880337147,2672.2415684215375,547.5819573360685,0,13214
87528219,-577909,6622178,3497221,2014-04-30,1870.0858269074176,2573.3592831161372,-760.203262292395,0,9322
87490815,-2749662,6458185,-995657,2014-06-30,-997.8261371601768,2541.2959292455494,-1658.210481211598,0,12933
87448215,-629643,6490707,120362,2014-06-30,346.93227004705113,2547.6865976803347,-793.5004725896513,0,12974
87433013,319362,4828602,2408986,2013-12-31,1552.0908478565293,2197.4080185527678,565.1212259329851,0,12794
87433013,214665,6049245,2623651,2014-12-31,1619.7688106640403,2459.5212948864664,463.31954415931995,0,13159
87398110,4249,2032644,1645853,2013-12-31,1282.9080247624925,1425.7082450487546,65.18435395092905,0,12634
87375412,1941215,12319910,3973828,2013-12-31,1993.4462621299829,3509.9729343685826,1393.2749190306986,0,12628
87240517,757709,10591124,2472144,2013-12-31,1572.305313862419,3254.4007128809444,870.4648183585595,0,12734
87183912,285942,271794,-400895,2014-12-31,-633.1626963111456,521.3386615243493,534.735448609871,0,12969
87170012,315221,3342795,1654045,2014-06-30,1286.0968081758076,1828.3312063190301,561.4454559438522,0,12789
87169928,458857,2015437,500000,2014-04-30,707.1067811865476,1419.6608749979694,677.3898434431978,0,8321
87101118,14800,555543,544253,2013-12-31,737.7350472900146,745.3475699296268,121.6552506059644,0,12628
87101118,14581,563834,558834,2014-12-31,747.5520048799281,750.8888066817883,120.75181158061356,0,12993
87039714,-80696,1357017,44304,2014-09-30,210.4851538707659,1164.9107261932136,-284.07041380615476,0,12803
86966018,484443,6128285,2136158,2013-12-31,1461.5601253455159,2475.537315412555,696.0193962814542,0,12571
86830612,-64581,1877823,242173,2014-04-30,492.1107598904946,1370.3368199096162,-254.12792054396542,0,12677
86805510,198449,1779339,531747,2014-12-31,729.2098463405441,1333.9186631875273,445.47614975439484,0,12769
86805510,147697,1670272,483299,2013-12-31,695.1970943552627,1292.390034006762,384.3136739695844,0,12404
86780410,99409,9219092,3625987,2014-06-30,1904.2024577234429,3036.2957695191685,315.2919282189127,0,8931
86771012,1269778,3914295,1835703,2014-06-30,1354.8811756017574,1978.457732679675,1126.8442660811652,0,12957
86286017,-504360,4994219,954239,2014-04-30,976.8515752149863,2234.7749327393126,-710.1830749884145,0,12791
86278812,-408851,19156742,15981606,2014-09-30,3997.70008880106,4376.841555277047,-639.4145759990149,0,12919
86078910,405283,9126270,3020311,2013-12-31,1737.9041975897292,3020.971697980635,636.618410038541,0,12627
86032511,521672,7797014,6613292,2014-12-31,2571.632166543264,2792.3133778284987,722.2686480804771,0,13063
85576615,0,264704,264704,2013-12-31,514.4939261060329,514.4939261060329,0,0,12787
85167510,1005246,17622793,3001053,2014-06-30,1732.3547558164869,4197.95104783274,1002.6195689293123,0,13027
85003410,248970,3542858,748970,2014-12-31,865.4305286965557,1882.2481239199044,498.96893690890215,0,13221
85003410,742960,2900740,1242960,2013-12-31,1114.8811595860789,1703.1558942152067,861.9512747249696,0,12856
